Marca,Modelo,Version,Potencia,Combustible,Consumo,Plazas
VOLKSWAGEN,TIGUAN,"VOLKSWAGEN TIGUAN ""MÁS"" 1.5 eTSI 110KW 150CV DSG 7vel",150 CV,Gasolina,"5,1 L/100",5
RENAULT,AUSTRAL,RENAULT AUSTRAL EVOLUTION E-TECH FULL HYBRID,200 CV,Híbrido,"4,6 L/100",5
MERCEDES BENZ,CITAN,Mercedes-Benz CITAN 110 CDI 70kW Furgón Base Cargo,95 CV,Diésel,"5,5 L/100",3
SKODA,KAROQ,ŠKODA KAROQ 2.0 TDI 110kW 150CV DSG 7 vel.,150 CV,Diésel,"5,3 L/100",5
MG,MG3,MG3 1.5 Comfort,116 CV,Gasolina,"6,1 L/100",5
ALFA ROMEO,JUNIOR,Alfa Romeo Junior Ibrida Ti 108kW (145CV),145 CV,Híbrido,"5,0 L/100",5
JAECOO,7,JAECOO 7 PHEV BUSINESS,279 CV,Híbrido enchufable,"2,4 L/100",5
SKODA,ELROQ,ŠKODA ELROQ 85 82 kWh BATTERIE 210 KW (286 CV),286 CV,Eléctrico,"15,8 kWh/100",5
BYD,DOLPHIN SURF,BYD Dolphin Surf Boost,88 CV,Eléctrico,"16 kWh/100",4
TOYOTA,PROACE MAX,TOYOTA PROACE MAX L3H2 GX 140 CV,140 CV,Diésel,"8,5 L/100",3
KIA,PV5 PASSENGER,KIA PV5 PASSENGER L2H1 LR PLUS,163 CV,Eléctrico,"16,3 kWh/100",5
MERCEDES BENZ,CITAN,Mercedes-Benz CITAN 110 CDI 70kW Tourer Base,95 CV,Diésel,"5,5 L/100",5
BYD,ATTO 2,BYD Atto 2 DM-i Boost,212 CV,Híbrido enchufable,"3,1 L/100",5
JAECOO,5,JAECOO 5 BEV EXCLUSIVE 211CV,211 CV,Eléctrico,"15,5 kWh/100",5
NISSAN,INTERSTAR,"Nissan Interstar Furgón L2H2 3,5T 96kW FWD Acenta",131 CV,Diésel,"7,6 L/100",3
KIA,PV5 CARGO,KIA PV5 CARGO L2H1 LR ESSENITIAL,163 CV,Eléctrico,"19 kWh/100",3
PEUGEOT,BOXER,Peugeot Boxer 3.0 L2 H1 BHDI 88kW (120CV),120 CV,Diésel,"5,1 L/100",3
NISSAN,MICRA,Nissan Micra Standard Range 4x2 N-Connecta,122 CV,Eléctrico,"14,2 kWh/100",5
BMW,SERIE 1,BMW Serie 1 120,170 CV,Gasolina,"5,3 L/100",5
PEUGEOT,BOXER,Peugeot Boxer 3.3 L2 H2 BHDI 103kW (140CV),140 CV,Diésel,"5,1 L/100",3
BMW,SERIE 1,BMW Serie 1 120d,163 CV,Diésel,"4,4 L/100",5
OPEL,COMBO-E,OPEL COMBO-e CARGO M 800KG,136 CV,Eléctrico,"19 kWh/100",3
CITROEN,E-BERLINGO,CITROEN eBERLINGO VAN TALLA M,136 CV,Eléctrico,"19 kWh/100",3
TOYOTA,HILUX,TOYOTA HILUX DOBLE CABINA GX 2.4B 150CV 6AT 4X4,150 CV,Diésel,"7,5 L/100",5
MAZDA,CX-60,MAZDA CX-60 2.5L e-SKYACTIV PHEV AWD 241kW (327 CV) 8AT EXCLUSIVE-LINE,327 CV,Híbrido enchufable,"1,5 L/100",5
OMODA,7,OMODA 7 PHEV PREMIUM,279 CV,Híbrido enchufable,"2,3 L/100",5
KIA,PV5,KIA PV5 Passenger L2H1 Long Range Plus,163 CV,Eléctrico,"16,3 kWh/100",5
EBRO,S800,EBRO S800 1.5 TGDI PHEV Luxury E-CVT,279 CV,Híbrido enchufable,"2,5 L/100",7
NISSAN,TOWNSTAR,Nissan Townstar 2 plazas 45kWh-90kW L2 Comfort,122 CV,Eléctrico,"18,2 kWh/100",2
