provider,audience,source_url,external_id,brand,model,version,status,body_type,fuel,transmission,power,emissions_label,doors,seats,color,annual_km,duration_months,monthly_price_ex_vat,monthly_price_inc_vat,advertised_price,advertised_tax_label,vat_included_in_advertised_price,initial_payment_eur,availability,coverage,verified_at
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,10000,36,425.06,514.32,425.06,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:43:59.257Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,10000,48,413.94,500.87,413.94,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:43:59.686Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,15000,36,444.2,537.48,444.2,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:00.650Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,15000,48,430.87,521.35,430.87,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:01.036Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,15000,60,419.57,507.68,419.57,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:01.424Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,20000,36,463.33,560.63,463.33,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:01.875Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,20000,48,447.8,541.84,447.8,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:02.303Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,20000,60,434.67,525.95,434.67,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:02.794Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,25000,36,491.22,594.38,491.22,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:03.244Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,25000,48,474.28,573.88,474.28,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:03.715Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,25000,60,464.9,562.53,464.9,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:04.197Z
